1 5998470 60020 21 5 13 12740.26 0.08 0.07 N O 1998-04-21 1998-03-22 1998-04-27 COLLECT COD AIR ccording to the slyly pe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5230368 87512 21 5 20 29990.20 0.04 0.08 N O 1997-06-07 1997-06-11 1997-06-20 TAKE BACK RETURN RAIL usly bold requests. excuses  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5225478 127508 21 2 12 18426.00 0.09 0.05 N O 1996-09-15 1996-10-09 1996-10-12 NONE AIR ong the idle ideas aff 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5223811 160020 21 1 18 19440.36 0.10 0.00 A F 1994-10-13 1994-10-24 1994-10-19 COLLECT COD RAIL  carefully? blith 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5200866 117509 21 6 8 12212.00 0.02 0.03 A F 1993-07-20 1993-09-14 1993-08-10 TAKE BACK RETURN MAIL  pending packages wake quickly furiously r 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5191845 184984 21 1 6 12413.88 0.04 0.08 A F 1994-08-28 1994-09-20 1994-09-18 COLLECT COD RAIL posits. fu 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5185639 100020 21 2 22 22440.44 0.07 0.08 R F 1993-01-29 1993-01-24 1993-02-13 TAKE BACK RETURN FOB ly bold ideas. final, fi 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5185415 5020 21 1 31 28675.62 0.09 0.08 N O 1996-04-01 1996-05-14 1996-04-02 NONE SHIP  at the special courts. ironic, ironic  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5181888 102490 21 5 25 37312.25 0.06 0.02 A F 1994-09-06 1994-11-11 1994-09-12 TAKE BACK RETURN MAIL lar dependencies dazzle blithely 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5169700 177503 21 2 41 64800.50 0.10 0.03 R F 1995-01-10 1995-01-31 1995-01-23 DELIVER IN PERSON FOB iously final foxes us 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5163783 190020 21 1 45 49950.90 0.06 0.06 N O 1995-09-01 1995-08-01 1995-09-06 NONE TRUCK s. slyly ironic  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5163334 162472 21 5 39 59844.33 0.09 0.08 N O 1998-08-15 1998-07-18 1998-09-01 DELIVER IN PERSON AIR to beans boost carefully sly 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5152455 72499 21 3 9 13243.41 0.07 0.07 N O 1998-06-09 1998-07-04 1998-06-11 COLLECT COD MAIL ular, regular deposits. carefully even 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5149124 174986 21 3 34 70073.32 0.10 0.06 N O 1996-07-15 1996-05-16 1996-07-16 TAKE BACK RETURN TRUCK s haggle quickly against the sly 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5147430 35014 21 1 19 18031.19 0.08 0.08 N O 1997-02-05 1997-01-14 1997-02-19 COLLECT COD REG AIR ic pinto beans wake carefully 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5137606 72499 21 4 40 58859.60 0.06 0.08 R F 1992-05-12 1992-06-30 1992-05-27 COLLECT COD RAIL  according to the depend 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5134688 144992 21 6 41 83516.59 0.07 0.06 A F 1993-05-07 1993-04-05 1993-05-08 NONE FOB ons. quickly even requests use blit 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5134055 20020 21 2 17 15980.34 0.03 0.01 N O 1997-09-27 1997-11-09 1997-10-15 COLLECT COD AIR en requests use. slyly fi 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5127776 55010 21 1 10 9650.10 0.08 0.08 R F 1994-01-03 1993-11-17 1994-01-31 DELIVER IN PERSON RAIL le fluffily. regular, express instr 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5098370 92493 21 6 27 40108.23 0.03 0.00 N O 1996-01-30 1996-01-31 1996-02-17 COLLECT COD MAIL  sleep ruthlessly unusual 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5097089 134994 21 4 47 95362.53 0.06 0.04 A F 1992-12-01 1992-11-16 1992-12-15 COLLECT COD MAIL . slyly even depo 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5075201 162472 21 4 10 15344.70 0.09 0.00 N O 1996-03-23 1996-04-11 1996-04-06 DELIVER IN PERSON SHIP equests use silent ideas. packages lose bl 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5071396 174986 21 3 42 86561.16 0.05 0.08 A F 1994-11-04 1994-10-18 1994-11-28 DELIVER IN PERSON FOB yly ironic instru 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5039237 122484 21 5 19 28623.12 0.01 0.04 N O 1998-05-06 1998-05-11 1998-06-02 DELIVER IN PERSON AIR lyly final accounts b 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5028675 192463 21 2 44 68440.24 0.04 0.08 N O 1998-08-15 1998-07-04 1998-08-28 TAKE BACK RETURN RAIL oxes sleep furiously. bold 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5006306 30020 21 1 16 15200.32 0.04 0.04 N O 1998-03-27 1998-02-08 1998-04-09 COLLECT COD TRUCK cies. ironic exc 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5004485 160020 21 1 48 51840.96 0.06 0.07 N O 1997-11-04 1997-09-28 1997-11-28 DELIVER IN PERSON TRUCK s wake according to th 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 5001319 164988 21 3 26 53377.48 0.08 0.03 R F 1994-12-31 1995-02-07 1995-01-05 DELIVER IN PERSON TRUCK sly. regular deposit 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4992068 197501 21 1 43 68735.50 0.04 0.02 N O 1996-03-07 1996-01-12 1996-03-16 NONE SHIP indle slyly bold accounts. final asym 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4991106 42508 21 5 9 13054.50 0.08 0.07 R F 1993-08-24 1993-10-20 1993-08-28 NONE AIR s. carefully final de 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4984135 47516 21 2 39 57076.89 0.08 0.03 N O 1997-02-14 1997-02-25 1997-02-20 TAKE BACK RETURN MAIL lyly dolphins. quickly ironic  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4978243 170020 21 4 39 42510.78 0.10 0.08 A F 1994-04-15 1994-05-12 1994-04-24 NONE RAIL to beans sleep regular, final ideas 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4977729 60020 21 4 25 24500.50 0.09 0.00 R F 1994-01-17 1993-12-23 1994-01-24 DELIVER IN PERSON MAIL sly even instructions sleep 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4969028 147506 21 5 35 54372.50 0.04 0.01 N O 1998-02-16 1998-01-18 1998-03-05 TAKE BACK RETURN AIR uriously ironic packages  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4963876 114998 21 3 1 2012.99 0.01 0.06 R F 1992-11-23 1992-11-09 1992-12-15 TAKE BACK RETURN MAIL ing to the slyly pending dep 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4963648 142478 21 3 9 13684.23 0.03 0.06 N O 1998-06-27 1998-05-06 1998-07-22 COLLECT COD MAIL l courts cajole. regular ideas are permane 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4951750 142478 21 4 47 71462.09 0.00 0.08 R F 1995-05-17 1995-04-06 1995-06-02 DELIVER IN PERSON FOB ithely pending warthogs cajole qu 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4951558 150020 21 3 42 44940.84 0.05 0.07 A F 1993-02-19 1993-01-08 1993-02-27 COLLECT COD AIR refully across the bold instructions 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4934086 190020 21 3 36 39960.72 0.02 0.05 N O 1996-04-24 1996-03-15 1996-05-04 DELIVER IN PERSON REG AIR s sleep above the furiously express  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4933318 20 21 4 1 920.02 0.05 0.06 N O 1995-10-22 1995-09-26 1995-10-28 DELIVER IN PERSON TRUCK  cajole furiously 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4925445 95002 21 2 7 6979.00 0.05 0.06 A F 1994-01-05 1994-02-09 1994-01-16 TAKE BACK RETURN TRUCK ag across the daring, regular re 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4921190 147506 21 3 17 26409.50 0.07 0.06 N O 1998-06-07 1998-06-17 1998-06-18 COLLECT COD AIR c requests detect slyly quickly iron 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4913126 134994 21 2 24 48695.76 0.00 0.04 A F 1992-06-19 1992-07-16 1992-07-15 TAKE BACK RETURN FOB he dependencies use carefully re 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4902336 172469 21 4 15 23121.90 0.02 0.08 A F 1994-07-16 1994-07-06 1994-08-09 COLLECT COD AIR platelets dazzle always ac 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4895136 30020 21 3 6 5700.12 0.03 0.07 N O 1996-02-16 1996-02-28 1996-02-19 COLLECT COD RAIL dolites affix. carefully fina 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4878658 25016 21 7 9 8469.09 0.08 0.04 R F 1995-02-03 1995-01-10 1995-02-19 NONE SHIP s are carefully! fluf 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4876353 160020 21 1 29 31320.58 0.04 0.05 R F 1992-09-03 1992-10-11 1992-09-15 DELIVER IN PERSON REG AIR ns haggle carefully boldly even d 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4872774 140020 21 1 38 40280.76 0.10 0.00 A F 1994-01-30 1994-01-15 1994-02-22 DELIVER IN PERSON REG AIR lar requests wake. quickly 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4869157 152475 21 2 10 15274.70 0.07 0.05 A F 1994-10-23 1994-09-29 1994-10-26 DELIVER IN PERSON REG AIR gular, busy packages nag furiousl 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4857669 105000 21 2 1 1005.00 0.00 0.05 N O 1996-03-24 1996-03-19 1996-03-27 COLLECT COD AIR y thin pinto beans are  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4839681 184984 21 3 31 64138.38 0.09 0.01 N O 1996-08-24 1996-09-09 1996-08-30 TAKE BACK RETURN MAIL ideas use after t 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4837506 164988 21 4 3 6158.94 0.09 0.05 N O 1996-12-10 1996-11-02 1996-12-30 TAKE BACK RETURN TRUCK ions. quickly silent packages wak 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4785667 20020 21 2 26 24440.52 0.06 0.08 N O 1997-08-30 1997-07-18 1997-08-31 DELIVER IN PERSON AIR nts! furiously bold instructions wake. 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4754882 77513 21 1 37 55148.87 0.05 0.02 A F 1992-05-05 1992-04-16 1992-05-16 TAKE BACK RETURN FOB ns cajole daringly exp 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4739142 52505 21 3 15 21862.50 0.09 0.04 N O 1996-02-02 1996-01-06 1996-02-10 TAKE BACK RETURN SHIP o beans detect car 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4727652 72499 21 5 33 48559.17 0.02 0.01 R F 1992-09-23 1992-09-18 1992-10-17 TAKE BACK RETURN TRUCK sleep final requests. blithely blit 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4720771 117509 21 1 29 44268.50 0.06 0.04 R F 1995-02-06 1994-12-10 1995-02-09 COLLECT COD SHIP luffily even dep 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4713286 45012 21 4 44 42108.44 0.09 0.05 R F 1994-05-01 1994-06-24 1994-05-30 COLLECT COD FOB nal packages use during t 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4708551 25016 21 3 44 41404.44 0.07 0.00 R F 1993-02-23 1993-02-14 1993-03-12 COLLECT COD AIR eodolites sleep-- accounts haggle around th 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4690597 170020 21 4 38 41420.76 0.00 0.01 R F 1993-01-17 1992-11-13 1993-01-28 DELIVER IN PERSON MAIL the regular requests. furiously bold 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4685633 110020 21 2 39 40170.78 0.10 0.06 N O 1996-10-22 1996-11-01 1996-10-24 DELIVER IN PERSON SHIP  foxes nag after  1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4680613 144992 21 5 2 4073.98 0.03 0.03 R F 1994-07-11 1994-06-22 1994-07-14 TAKE BACK RETURN REG AIR nic deposits must have 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
